"symbol,date,price"
"Home Care,April 2013,75"
"Other Foods,April 2013,30.22"
"Agarbatti,April 2013,47.5"
"Agarbatti,April 2013,47.5"
"Agarbatti,April 2013,48"
"Staples,April 2013,115"
"Staples,April 2013,255"
"Staples,April 2013,80"
"Staples,April 2013,80"
"Hair Care,April 2013,82.22"
"Hair Care,April 2013,102.22"
"Staples,April 2013,144.76"
"Staples,April 2013,144.76"
"OTC,April 2013,17.14"
"Baby Care,April 2013,65.14"
"Oral Care,April 2013,32.09"
"Oral Care,April 2013,32.09"
"Oral Care,April 2013,60.44"
"Chocolates,April 2013,19.11"
"Chocolates,April 2013,30.22"
"Spices,April 2013,10.48"
"Staples,April 2013,40"
"Biscuits,April 2013,20.89"
"Staples,April 2013,78"
"Staples,April 2013,39"
"Staples,April 2013,175"
"Other Foods,April 2013,32.38"
"Dish Wash,April 2013,42.67"
"Dish Wash,April 2013,42.67"
"Soap,April 2013,57.78"
"Home Care,April 2013,19.52"
"Dish Wash,April 2013,42.67"
"Home Care,April 2013,54.04"
"Soap,April 2013,29.33"
"Soap,April 2013,49.82"
"Soap,April 2013,160"
"Soap,April 2013,157.07"
"Home Care,April 2013,23.56"
"Staples,April 2013,44"
"Staples,April 2013,28"
"Spices,April 2013,31.67"
"Hair Care,April 2013,58.67"
"Soap,April 2013,120"
"Soap,April 2013,71.11"
"Hair Care,April 2013,55.11"
"Soap,April 2013,32"
"Biscuits,April 2013,21.33"
"Confectionery,April 2013,2.67"
"Confectionery,April 2013,99.56"
"Confectionery,April 2013,99.56"
"Staples,April 2013,100"
"Ready to Cook,April 2013,66.67"
"Spices,April 2013,81.43"
"Spices,April 2013,38.57"
"Spices,April 2013,38.57"
"Spices,April 2013,15.43"
"Spices,April 2013,15.43"
"Spices,April 2013,51.43"
"Spices,April 2013,48"
"Spices,April 2013,48"
"Spices,April 2013,38.57"
"Spices,April 2013,18"
"Spices,April 2013,41.14"
"Spices,April 2013,20.57"
"Spices,April 2013,21.43"
"Spices,April 2013,37.71"
"Spices,April 2013,45.43"
"Spices,April 2013,44.57"
"Spices,April 2013,29.14"
"Spices,April 2013,29.14"
"Spices,April 2013,36"
"Spices,April 2013,15.43"
"Spices,April 2013,15.43"
"Spices,April 2013,41.14"
"Spices,April 2013,41.14"
"Spices,April 2013,20.57"
"Spices,April 2013,21.43"
"Spices,April 2013,15.43"
"Spices,April 2013,15.43"
"Spices,April 2013,15.43"
"Spices,April 2013,30.86"
"Spices,April 2013,15.43"
"Spices,April 2013,30.86"
"Home Care,April 2013,488.89"
"Home Care,April 2013,88.89"
"Home Care,April 2013,8.89"
"Home Care,April 2013,17.78"
"Facial Care,April 2013,75.56"
"Facial Care,April 2013,76"
"Facial Care,April 2013,39.11"
"Facial Care,April 2013,73.78"
"Facial Care,April 2013,73.78"
"Facial Care,April 2013,82.67"
"Fabric Wash,April 2013,17.78"
"Fabric Wash,April 2013,72.89"
"Fabric Wash,April 2013,18.22"
"Other PC,April 2013,166.28"
"Other PC,April 2013,150.4"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,180.95"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,180.95"
"Staples,April 2013,180.95"
"Staples,April 2013,180.95"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,180.95"
"Staples,April 2013,90.48"
"Staples,April 2013,90.48"
"Staples,April 2013,104.76"
"Staples,April 2013,423.81"
"Staples,April 2013,79.05"
"Staples,April 2013,316.19"
"Staples,April 2013,79.05"
"Staples,April 2013,79.05"
"Staples,April 2013,158.1"
"Staples,April 2013,79.05"
"Staples,April 2013,237.14"
"Staples,April 2013,79.05"
"Staples,April 2013,79.05"
"Staples,April 2013,89.52"
"Staples,April 2013,179.05"
"Staples,April 2013,89.52"
"Staples,April 2013,89.52"
"Staples,April 2013,89.52"
"Beverages,April 2013,19.05"
"Beverages,April 2013,19.05"
"Other Foods,April 2013,35.24"
"Other Foods,April 2013,72.38"
"Tea,April 2013,117.62"
"Tea,April 2013,114.29"
"Home Care,April 2013,53.33"
"Home Care,April 2013,8.89"
"Facial Care,April 2013,168.04"
"Hair Care,April 2013,54.04"
"Beverages,April 2013,34.4"
"Fabric Wash,April 2013,37.33"
"Fabric Wash,April 2013,18.67"
"Fabric Wash,April 2013,111.11"
"Fabric Wash,April 2013,44.44"
"Mens Grooming,April 2013,159.11"
"Mens Grooming,April 2013,47.29"
"Mens Grooming,April 2013,67.56"
"Mens Grooming,April 2013,168.04"
"Mens Grooming,April 2013,31.11"
"Spices,April 2013,88.57"
"Agarbatti,April 2013,56"
"Beverages,April 2013,22.4"
